Characteristic,Overall,Bangladesh,Nepal,Pakistan
Participants,461,264,166,31
"Age at first specimen, years",8.0 (4.4–17.5),5.4 (3.5–8.0),20.6 (15.2–25.9),6.0 (3.2–9.9)
 under 5,130 (28%),115 (44%),4 (2%),11 (35%)
 5 to 15,207 (45%),148 (56%),42 (25%),17 (55%)
 16 and over,124 (27%),1 (0%),120 (72%),3 (10%)
Male sex,252 (55%),141 (53%),96 (58%),15 (48%)
S. Typhi (vs S. Paratyphi A),388 (84%),230 (87%),127 (77%),31 (100%)
Visits per participant,4 (3–4),3 (2–4),4 (3–5),7 (6–7)
Days to first specimen,6 (4–13),5 (3–6),32 (5–38),6 (4–8)
 sampled before day 22,351 (76%),264 (100%),57 (34%),30 (97%)
Days to last specimen,463 (102–554),200 (95–535),528 (179–570),707 (620–718)
Observations,"3,318","1,642","1,300",376
 at the detection limit,34 (1.0%),3 (0.2%),24 (1.8%),7 (1.9%)
