"table","biomarker","parameter","n_draws","median","q25","q75"
"uncorrelated","HlyE_IgG","y0",1000,21.6417962194401,9.71093230400801,47.1570818871897
"uncorrelated","HlyE_IgG","y1",1000,177.222833105645,92.871098814586,314.173979814087
"uncorrelated","HlyE_IgG","t1",1000,20.8534781724815,14.7408100009598,29.10302593992
"uncorrelated","HlyE_IgG","alpha",1000,8.95554790122779e-06,1.41974477790466e-06,4.61904953125815e-05
"uncorrelated","HlyE_IgG","r",1000,2.67925071948803,2.35808301411376,3.06975443610458
"uncorrelated","HlyE_IgA","y0",1000,17.1172891835381,8.45271482635024,37.9346874512582
"uncorrelated","HlyE_IgA","y1",1000,64.8418204365897,37.8205826414392,123.006274447813
"uncorrelated","HlyE_IgA","t1",1000,16.9230645170142,12.8132788899104,21.6861027460146
"uncorrelated","HlyE_IgA","alpha",1000,9.53643801288425e-05,2.20056791940751e-05,0.000325771587523253
"uncorrelated","HlyE_IgA","r",1000,2.81318944394935,2.43418784957726,3.23047492994912
"correlated","HlyE_IgG","y0",1000,22.7096118150406,10.2548793206709,51.6501932330394
"correlated","HlyE_IgG","y1",1000,167.025478318449,88.8640595556599,302.97799177537
"correlated","HlyE_IgG","t1",1000,23.0626137598857,17.2593473580036,30.2337685400154
"correlated","HlyE_IgG","alpha",1000,7.85116468661197e-06,8.47480935262949e-07,4.77561770693014e-05
"correlated","HlyE_IgG","r",1000,2.71775400268645,2.41214551744508,3.11364625828104
"correlated","HlyE_IgA","y0",1000,15.2772124822499,6.80984493528416,34.2584740488778
"correlated","HlyE_IgA","y1",1000,70.7973768815389,39.9700510253611,136.417676143157
"correlated","HlyE_IgA","t1",1000,16.9080272550069,10.3532103581071,27.2393483268362
"correlated","HlyE_IgA","alpha",1000,8.58426756931016e-05,6.38332800328884e-06,0.000466209977191276
"correlated","HlyE_IgA","r",1000,2.850836906849,2.45257515178793,3.41529359599913
