"lambda","form","reps","coverage","width","est","mcse","bias"
0.04,"composite",50,0.88,0.0149059193744924,0.0409396784451972,0.0459565011723042,2.34919611299305
0.04,"joint",50,0.96,0.018650678045113,0.0410154423680504,0.027712812921102,2.53860592012611
0.09,"composite",50,0.88,0.0276967958831266,0.0920186990084367,0.0459565011723042,2.24299889826305
0.09,"joint",50,0.98,0.0348228857685085,0.0926731084924316,0.0197989898732233,2.97012054714625
0.15,"composite",50,0.84,0.0446714505042763,0.153329342343156,0.0518459255872629,2.21956156210408
0.15,"joint",50,0.96,0.0557364004343499,0.153656535398396,0.027712812921102,2.43769026559717
0.2,"composite",50,0.9,0.059580375695742,0.201800337028296,0.0424264068711928,0.90016851414807
0.2,"joint",50,1,0.0738331265293221,0.202467253901743,0,1.23362695087168
0.25,"composite",50,0.92,0.0748318475750411,0.253774973002166,0.0383666521865017,1.50998920086653
0.25,"joint",50,1,0.0944311627142538,0.25418964882342,0,1.67585952936806
0.33,"composite",50,0.96,0.1033875901935,0.334135395211389,0.027712812921102,1.25315006405728
0.33,"joint",50,0.98,0.129775421843733,0.335106497273434,0.0197989898732233,1.54742341619223
