"**Characteristic**","**Overall (N = 48)**","**Sf2a**  
N = 17","**sonnei**  
N = 11","**Sf3a**  
N = 8","**Sf6**  
N = 5","**Other**  
N = 7"
"__Age at enrollment, years__","10.5 (2.0–25.0)","19.0 (3.0–27.0)","4.0 (2.0–15.0)","4.5 (1.5–24.5)","12.0 (2.0–13.0)","23.0 (2.0–44.0)"
"__Age group, years__",NA,NA,NA,NA,NA,NA
"<5","21 (44%)","7 (41%)","6 (55%)","4 (50%)","2 (40%)","2 (29%)"
"≥5","27 (56%)","10 (59%)","5 (45%)","4 (50%)","3 (60%)","5 (71%)"
"__Male sex, n (%)__","24 (50%)","9 (53%)","4 (36%)","4 (50%)","3 (60%)","4 (57%)"
"__Diarrhea with blood or mucus__","47 (98%)","16 (94%)","11 (100%)","8 (100%)","5 (100%)","7 (100%)"
"__Watery diarrhea__","3 (6.3%)","1 (5.9%)","1 (9.1%)","0 (0%)","0 (0%)","1 (14%)"
"__Fever__","25 (52%)","9 (53%)","7 (64%)","6 (75%)","0 (0%)","3 (43%)"
"__MUAC (cm)__","21.0 (14.9–25.1)","23.0 (15.0–25.6)","16.0 (14.8–24.0)","16.3 (15.2–24.0)","21.0 (14.0–24.0)","23.3 (17.3–27.2)"
"__Duration of hospital stay (hours)__","0.0 (0.0–168.0)","3.0 (0.0–168.0)","2.0 (0.0–33.0)","0.0 (0.0–3.0)","0.0 (0.0–11.0)","0.0 (0.0–48.0)"
"__Diarrhea duration prior to presentation (hours)__","72.0 (48.0–96.0)","72.0 (33.0–94.0)","48.0 (48.0–96.0)","84.0 (72.0–96.0)","120.0 (96.0–120.0)","72.0 (48.0–120.0)"
"__Samples per participant__",NA,NA,NA,NA,NA,NA
"3","6 (13%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","6 (86%)"
"4","10 (21%)","1 (5.9%)","8 (73%)","0 (0%)","0 (0%)","1 (14%)"
"5","32 (67%)","16 (94%)","3 (27%)","8 (100%)","5 (100%)","0 (0%)"
"__Follow-up duration, days__","182.0 (30.0–206.0)","184.0 (97.0–206.0)","95.0 (37.0–184.0)","185.0 (175.0–197.0)","182.0 (182.0–197.0)","32.0 (30.0–37.0)"
"__Completed follow-up (≥4 visits and ≥90 days)__","40 (83%)","17 (100%)","10 (91%)","8 (100%)","5 (100%)","0 (0%)"
