"Biomarker","Model","y0","y1","t1","alpha","rho"
"IpaB–IgA","Overall (n=48)","17.61 (1.42–176.50)","684.55 (191.24–1569.70)","3.1 (0.9–7.4)","0.01185148 (0.00002510–0.20895165)","1.51 (1.13–2.49)"
"IpaB–IgG","Overall (n=48)","109.03 (9.76–986.02)","62336.18 (53529.07–71875.11)","1.2 (0.3–2.6)","0.00126592 (0.00000014–0.10478217)","1.35 (1.05–1.95)"
"Sf2a–IgA","Combined flexneri (n=25)","100.32 (9.86–1015.14)","9693.08 (4366.07–22704.81)","1.7 (0.6–3.1)","0.01571322 (0.00018096–0.18183604)","1.45 (1.18–1.97)"
"Sf2a–IgG","Serotype-specific (n=17)","2085.21 (117.35–7911.85)","33542.75 (16883.00–61526.56)","8.2 (2.5–16.0)","0.95670265 (0.12881415–2.08015540)","1.02 (1.00–1.17)"
"Sf3a–IgA","Combined flexneri (n=25)","6653.18 (2651.83–13349.72)","10342.39 (5616.00–18534.26)","8.5 (4.2–15.1)","0.00000000 (0.00000000–0.00000202)","3.71 (2.37–6.31)"
"Sf3a–IgG","Combined flexneri (n=25)","5045.36 (743.18–11949.22)","19120.29 (12357.80–28941.77)","4.9 (1.5–12.9)","0.01965374 (0.00005291–0.53673106)","1.34 (1.05–1.86)"
"Sf6–IgA","Overall (n=48)","1899.35 (1307.57–2804.44)","1909.85 (1326.30–2823.46)","14.8 (7.3–25.0)","0.00000000 (0.00000000–0.00000359)","5.04 (2.38–10.27)"
"Sf6–IgG","Overall (n=48)","178.07 (17.11–2163.81)","7680.51 (3605.52–15769.36)","0.6 (0.1–2.8)","0.00001334 (0.00000001–0.09861808)","1.75 (1.13–2.47)"
"Sonnei–IgA","Serotype-specific (n=11)","147.14 (19.83–925.16)","67664.40 (34940.70–146269.75)","3.9 (2.6–6.2)","0.12931453 (0.00713028–0.79901134)","1.51 (1.28–1.88)"
"Sonnei–IgG","Serotype-specific (n=11)","198.20 (26.90–1297.99)","60156.43 (29810.25–115011.58)","3.8 (2.3–6.6)","1.89991159 (0.01681870–5.11850602)","1.06 (1.00–1.44)"
