"Antigen","Isotype","Overall","Serotype-specific","Combined flexneri","Best model"
"IpaB","IgG","0.13 (0.07–0.31)","N/A","N/A","Overall"
"IpaB","IgA","0.31 (0.17–0.51)","N/A","N/A","Overall"
"Sf2a","IgG","0.21 (0.14–0.37)","0.15 (0.12–0.18)","0.31 (0.24–0.37)","Serotype-specific"
"Sf2a","IgA","0.40 (0.23–0.52)","0.34 (0.22–0.38)","0.33 (0.21–0.40)","Combined flexneri"
"Sf3a","IgG","0.18 (0.11–0.32)","0.49 (0.46–0.56)","0.20 (0.18–0.30)","Combined flexneri"
"Sf3a","IgA","0.24 (0.15–0.30)","0.47 (0.28–0.62)","0.21 (0.14–0.28)","Combined flexneri"
"Sf6","IgG","0.19 (0.11–0.31)","N/A","N/A","Overall"
"Sf6","IgA","0.22 (0.13–0.33)","N/A","N/A","Overall"
"Sonnei","IgG","0.56 (0.30–1.31)","0.28 (0.23–0.33)","N/A","Serotype-specific"
"Sonnei","IgA","0.45 (0.28–1.13)","0.22 (0.20–0.42)","N/A","Serotype-specific"
