"arm","init","role","j","param","median","q5","q95","rhat","ess","median_unf","rhat_unf"
"T","0.1","primary",1,"baseline",0.8311905,0.7766944705,0.8802916545,1.00015078463078,926.236938225116,0.829100375,1.00010967654986
"T","0.1","primary",2,"peak",0.63892742,0.5307462925,0.7275090785,1.00006490545976,588.544238413632,0.63738774,1.00004361880129
"T","0.1","primary",3,"peak-time",0.840060725,0.731960945,0.9087069885,1.00396386921081,449.618097303799,0.84275582,1.00517838811373
"T","0.1","primary",4,"decay-rate",0.6533549,0.5248332585,0.761749617,1.00096818886015,441.762665972263,0.648459145,1.00037601250305
"T","0.1","primary",5,"decay-shape",0.64262998,0.5288035035,0.745319348,1.00261965580067,565.312183795327,0.643999545,1.00401316675673
"T3","0.5","init",1,"baseline",0.825647425,0.768062229,0.877670071,1.00108512282051,461.950400161744,0.82406452,1.04343038357964
"T3","0.5","init",2,"peak",0.63580315,0.5306257775,0.7237859485,1.00133263330365,516.780785813257,0.635730235,1.00042792495878
"T3","0.5","init",3,"peak-time",0.85202085,0.745035327,0.917342257,1.00111795927195,196.030486836626,0.85435498,1.02268727050774
"T3","0.5","init",4,"decay-rate",0.65449873,0.5291489815,0.760230694,1.00021849615034,434.827704642808,0.649738505,1.02534681230386
"T3","0.5","init",5,"decay-shape",0.63495055,0.519384488,0.7393538785,1.00450895470365,472.855089483476,0.633141115,1.0117446500108
"T2","2","init",1,"baseline",0.828704225,0.773705821,0.878611014,1.00036111455803,524.333966647754,0.80745129,1.11464369371832
"T2","2","init",2,"peak",0.63577694,0.527549968,0.7241693605,1.00027056956045,435.899090751042,0.621307965,1.05586920086994
"T2","2","init",3,"peak-time",0.844812305,0.735760143,0.9138614845,1.00040892707733,214.474715481263,0.82731861,1.04477480498276
"T2","2","init",4,"decay-rate",0.65771303,0.5274270535,0.7684122795,1.00146096132853,383.182535043784,0.6100433,1.07716431090083
"T2","2","init",5,"decay-shape",0.6344389,0.5140708145,0.7413744855,1.00131495450664,365.395611920951,0.59963844,1.05918393722513
"T4","3","init",1,"baseline",0.83131581,0.7749835295,0.880634472,1.0030207943185,129.637708812202,0.052070392,1.00225330565148
"T4","3","init",2,"peak",0.63579182,0.529427715,0.7262833505,1.00242602280702,122.843912418758,0.170296035,1.05624859330233
"T4","3","init",3,"peak-time",0.84392357,0.735173492,0.9087076735,1.00527928906838,123.686934004545,0.1686091,1.03805973589508
"T4","3","init",4,"decay-rate",0.648178915,0.5204880855,0.7593649975,1.00012324043453,96.8725923751798,0.102796775,1.01284810806635
"T4","3","init",5,"decay-shape",0.64989529,0.526307129,0.752779182,1.00634426928004,93.9258205700494,0.198597415,1.03513745389395
"U","0.1","replicate",1,"baseline",0.840030445,0.785245932,0.890712877,1.00015122428193,361.158303508366,0.83943519,1.01116949729335
"U","0.1","replicate",2,"peak",0.632127355,0.527298421,0.722223218,1.00775687459475,351.554678002754,0.630810185,1.00356608081345
"U","0.1","replicate",3,"peak-time",0.87963128,0.780102956,0.9431345605,1.00528965577983,44.7210361499377,0.87883686,1.01384829134922
"U","0.1","replicate",4,"decay-rate",0.672230885,0.552156405,0.77676884,1.00454032212306,196.052101654664,0.668465265,1.02792370962536
"U","0.1","replicate",5,"decay-shape",0.649463035,0.531705427,0.747307906,1.00641938488778,316.745629454541,0.64944182,1.00763372908914
"V","0.1","replicate",1,"baseline",0.81623419,0.759913584,0.8647280215,1.00049475726533,629.947956667952,0.814498985,1.01303427744827
"V","0.1","replicate",2,"peak",0.619062235,0.5085579015,0.7079552025,1.00261552475705,453.97788876852,0.617491155,1.00860941444642
"V","0.1","replicate",3,"peak-time",0.789997085,0.6575926265,0.872401008,1.00383498288405,76.2092813170996,0.793091175,1.01193930774547
"V","0.1","replicate",4,"decay-rate",0.614534415,0.4703113055,0.740732861,1.0001627916653,326.799977723766,0.61037995,1.01654792432425
"V","0.1","replicate",5,"decay-shape",0.600044935,0.4710881475,0.7165104565,1.00003128002242,457.06657721316,0.602221875,1.00114508863953
