"arm","term","est","lo","hi"
"T2","prec_logy[1]",4.11887275,0.422588951500005,4.623557335
"T2","prec_logy[2]",4.3476544,0.551791579,4.906580305
"T2","cross_corr[1]",0.80745129,-0.251048926,0.873324509
"T2","cross_corr[2]",0.621307965,-0.0468526638499994,0.7315877595
"T2","cross_corr[3]",0.82731861,-0.0662866307,0.932470417
"T2","cross_corr[4]",0.6100433,-0.03406084685,0.7577710505
"T2","cross_corr[5]",0.59963844,-0.123578048499998,0.73729898
"T2","cross_cov[1]",1.19889535,-0.32772429,1.46291537
"T2","cross_cov[2]",0.70531515,-0.156187023499956,0.9565550905
"T2","cross_cov[3]",0.25031049,-0.324898780499981,0.693044577499999
"T2","cross_cov[4]",0.81685559,-1.58985024,2.0421991099964
"T2","cross_cov[5]",0.0725254035,-0.15294211,0.1103714995
"T3","prec_logy[1]",4.2651463,3.83713127,4.798389015
"T3","prec_logy[2]",4.489153,4.018367945,4.963343985
"T3","cross_corr[1]",0.82406452,-0.237204975,0.880373815
"T3","cross_corr[2]",0.635730235,0.531034407,0.7253285105
"T3","cross_corr[3]",0.85435498,0.7470613095,0.9233941095
"T3","cross_corr[4]",0.649738505,0.3064757265,0.7611562805
"T3","cross_corr[5]",0.633141115,0.481489417,0.7419880575
"T3","cross_cov[1]",1.25923815,-0.228415136,1.48269087
"T3","cross_cov[2]",0.747996745,0.5608608455,0.9797855585
"T3","cross_cov[3]",0.272360605,0.1791603895,0.648636531
"T3","cross_cov[4]",0.84846675,0.424924947,1.18466204
"T3","cross_cov[5]",0.0774936445,0.052288197,0.1052625355
"T4","prec_logy[1]",1.25367865,0.0806714703000008,4.678837215
"T4","prec_logy[2]",3.95941655,0.00687244138,5.1788687
"T4","cross_corr[1]",0.052070392,-0.140014984,0.8695045915
"T4","cross_corr[2]",0.170296035,-0.1684846705,0.721193489
"T4","cross_corr[3]",0.1686091,-0.110605094149987,0.9023311645
"T4","cross_corr[4]",0.102796775,-0.103630432949992,0.73281801
"T4","cross_corr[5]",0.198597415,-0.166376660999997,0.728139208
"T4","cross_cov[1]",0.087236886,-0.535820695999933,1.487041515
"T4","cross_cov[2]",0.5752187,-0.9601265405,1.069017755
"T4","cross_cov[3]",0.235753485,-0.378810448999999,3.4866787249928
"T4","cross_cov[4]",0.771381655,-5.580476224998,5.25198110493318
"T4","cross_cov[5]",0.0582446075,-21.81263465,0.490943554484195
"U","prec_logy[1]",4.25859145,3.811700865,4.793107795
"U","prec_logy[2]",4.5114659,4.03881774,4.973689175
"U","cross_corr[1]",0.83943519,0.647632523500038,0.8908642045
"U","cross_corr[2]",0.630810185,0.5254937625,0.7223421805
"U","cross_corr[3]",0.87883686,0.7766837185,0.9419488895
"U","cross_corr[4]",0.668465265,0.366757384,0.777868529
"U","cross_corr[5]",0.64944182,0.523373669,0.7525343765
"U","cross_cov[1]",1.3191789,0.880517276500048,1.55464323
"U","cross_cov[2]",0.723908615,0.5455851525,0.9386592385
"U","cross_cov[3]",0.30410899,0.1981979415,0.638044209
"U","cross_cov[4]",0.87870413,0.4531661765,1.217292265
"U","cross_cov[5]",0.0790746745,0.05532348225,0.106400956
"V","prec_logy[1]",4.27834685,3.8427257,4.84241643
"V","prec_logy[2]",4.4309105,3.8932133,4.89930022
"V","cross_corr[1]",0.814498985,0.640612846950035,0.8642606105
"V","cross_corr[2]",0.617491155,0.5068048475,0.7066204805
"V","cross_corr[3]",0.793091175,0.659057155,0.876849593
"V","cross_corr[4]",0.61037995,0.2366700135,0.739793775
"V","cross_corr[5]",0.602221875,0.472288312,0.7215976585
"V","cross_cov[1]",1.20090965,0.770524889950041,1.41139085
"V","cross_cov[2]",0.753700475,0.5665344095,0.971058786
"V","cross_cov[3]",0.22653343,0.1409190585,0.4534950455
"V","cross_cov[4]",0.78363051,0.277823304,1.11504672
"V","cross_cov[5]",0.073365194,0.05060721115,0.0998292929
